Distance,beat_freq,bpm,Estimate1_p1,Estimate2_p1,Estimate1_p2,Estimate2_p2,Estimate1_p3,Estimate2_p3,Estimate1_p4,Estimate2_p4,Estimate1_p5,Estimate2_p5,Estimate1_p6,Estimate2_p6,Estimate1_p7,Estimate2_p7,Estimate1_p8,Estimate2_p8,Estimate1_p9,Estimate2_p9,Estimate1_p10,Estimate2_p10,Estimate1_p11,Estimate2_p11,Estimate1_p12,Estimate2_p12,Gmean
1,0.625,37.5,2,2,1,1,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1.25992104989487
2,1.25,75,4,3,2,2,2,3,3,4,2,8,2,1,3,2,2,2,2,2,3,2,2,2,3,2,2.41369038206806
3,1.875,112.5,5,3,3,3,5,5,4,2,3,4,4,2,4,4,3,3,3,3,2,3,3,3,2,3,3.17345766246203
4,2.5,150,6,4,4,3,9,4,3,5,5,5,4,4,5,6,3,3,3,3,4,3,4,3,4,4,4.0356543087298
5,3.125,187.5,5,7,7,5,8,11,6,4,10,5,5,7,5,5,4,7,4,5,5,5,8,4,6,4,5.66962134537595
6,3.75,225,6,5,5,6,5,5,8,7,7,5,4,6,4,5,4,4,4,4,2,4,5,4,4,6,4.78549785264465
7,4.375,262.5,8,5,7,7,8,11,10,6,5,9,6,5,7,7,4,4,6,8,6,6,4,10,4,3,6.16495910439809
8,5,300,9,7,7,8,10,10,6,9,9,6,7,7,6,7,6,5,8,14,5,8,9,8,5,7,7.39574144517208
9,5.625,337.5,10,6,8,9,10,10,8,5,7,6,7,8,8,10,8,9,8,9,11,14,14,5,8,9,8.34696586003897
10,6.25,375,12,8,9,10,10,7,9,9,6,7,7,6,11,9,7,10,10,9,12,8,11,9,4,10,8.50447282433499
11,6.875,412.5,11,9,9,10,9,8,9,7,7,10,6,10,11,8,9,11,9,10,13,9,15,14,12,6,9.4151899491486
12,7.5,450,13,10,11,11,12,14,10,8,8,11,7,13,12,9,10,10,10,14,14,14,12,3,13,10,10.3620593112069
13,8.125,487.5,16,14,12,11,14,13,12,10,14,15,10,14,16,11,11,11,10,15,15,12,16,15,15,13,12.9672255626849
14,8.75,525,15,9,10,11,13,9,11,8,11,13,10,15,15,15,11,11,12,12,14,14,9,8,12,12,11.4563424907474
15,9.375,562.5,14,15,12,12,14,14,14,11,15,16,14,14,15,16,9,12,14,16,15,15,16,14,13,15,13.8425335775017
16,10,600,14,9,13,13,16,15,13,14,12,16,14,16,16,16,14,14,15,16,15,16,16,14,16,14,14.3487032355501
